# %ECSV 1.0
# ---
# datatype:
# - {name: wavelength, unit: micron, datatype: float64}
# - {name: time, unit: d, datatype: float64}
# - {name: flux, datatype: float64}
# - {name: uncertainty, datatype: float64}
# - {name: planet_model, datatype: float64}
# - {name: systematics_model, datatype: float64}
# - {name: model, datatype: float64}
# - {name: residuals, datatype: float64}
# meta: {name: WASP-39b, time_label: Time from Mid-Transit, tscale: linear, wscale: log}
# schema: astropy-2.0
wavelength time flux uncertainty planet_model systematics_model model residuals
3.017 -0.10051105665235882 0.9998909201934814 0.00034039856033066485 1.0 1.0027504586754596 1.0000001768356916 -0.00010925664221028697
3.017 -0.09982552174671655 0.999475653011234 0.00034040130764424005 1.0 1.0027423656690997 1.000000177252747 -0.000524524241512947
3.017 -0.09913998684107428 0.9996792921707205 0.0003404040634072138 1.0 1.0027342479038301 1.0000001768264528 -0.00032088465573232305
3.017 -0.09845445146977072 1.0004943532451207 0.000340406777261264 1.0 1.0027262537198665 1.0000001775495444 0.0004941756955763044
3.017 -0.09776891609846716 0.999916021254837 0.00034040950680008683 1.0 1.0027182134619315 1.000000177298494 -8.415604365707985e-05
3.017 -0.09708338119282489 1.0000015364599288 0.0003404122571040697 1.0 1.0027101121675783 1.0000001767995748 1.359660354083303e-06
3.017 -0.09639784582152133 1.0001393926442759 0.00034041496710434754 1.0 1.002702129719845 1.0000001772925997 0.0001392153516761585
3.017 -0.09571231091587906 0.9997894121797786 0.00034041767796557087 1.0 1.0026941448633058 1.0000001772670337 -0.0002107650872551492
3.017 -0.0950267755445755 0.9998105173407008 0.00034042036404203054 1.0 1.0026862331358557 1.0000001777248548 -0.0001896603841540223
3.017 -0.09434124017327195 0.999639370567634 0.00034042303208520647 1.0 1.0026783746482981 1.000000178693623 -0.00036080812598904277
3.017 -0.09365570526762967 1.0001437489948497 0.0003404257251062286 1.0 1.0026704427155968 1.0000001788136004 0.00014357018124933063
3.017 -0.0929701703619874 1.0000425792128613 0.00034042840590599354 1.0 1.0026625469036123 1.0000001787884558 4.240042440550873e-05
3.017 -0.09228463499068384 0.9992621583600987 0.0003404310784240201 1.0 1.0026546756077732 1.0000001787654293 -0.0007380204053306638
